date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:09:26	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/Mis%20lugares%20Web/FINANZAS/code.jquery.com/jquery-3.5.1.min.js	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:27	79807/79807	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2020:05:26%20GMT	https://icbargentina.com/capacitacion/inversor-y-asesor-inversiones	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/capacitacion/inversor-y-asesor-inversiones.html	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:29	76275/76275	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2020:05:28%20GMT	https://icbargentina.com/capacitacion/inversor-profesional-de-mercado-de-valores	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/capacitacion/inversor-profesional-de-mercado-de-valores.html	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:30	70104/70104	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2020:05:30%20GMT	https://icbargentina.com/capacitacion/curso-capacitacion-inversiones-bursatiles-caba	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/capacitacion/curso-capacitacion-inversiones-bursatiles-caba.html	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:31	69026/69026	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2020:05:30%20GMT	https://icbargentina.com/capacitacion/administracion-de-empresas-analista-de-finanzas-corporativas	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/capacitacion/administracion-de-empresas-analista-de-finanzas-corporativas.html	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:31	40401/40401	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2020:05:31%20GMT	https://icbargentina.com/capacitacion/in-company	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/capacitacion/in-company.html	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:34	46995/46995	---M--	200	added ('OK')	image/jpeg	etag:%2263e26819-b793%22	https://icbargentina.com/media/docentes/2023/02/profe.jpg	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/media/docentes/2023/02/profe.jpg	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:34	140228/140228	---M--	200	added ('OK')	image/jpeg	etag:%225d15ccc8-223c4%22	https://icbargentina.com/static/new/img/icb2.jpg	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/new/img/icb2.jpg	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:34	79634/79634	---M--	200	added ('OK')	image/jpeg	etag:%225d15ccc8-13712%22	https://icbargentina.com/static/new/img/dirigidoa.jpg	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/new/img/dirigidoa.jpg	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:34	166031/166031	---M--	200	added ('OK')	image/jpeg	etag:%2263e2682b-2888f%22	https://icbargentina.com/media/landings/2023/02/header-compressed.jpg	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/media/landings/2023/02/header-compressed.jpg	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:35	18000/18000	---M--	200	added ('OK')	image/png	etag:%22605d3722-4650%22	https://icbargentina.com/static/new/img/mp.png	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/new/img/mp.png	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:35	181448/181448	---M--	200	added ('OK')	image/png	etag:%22653befc1-2c4c8%22	https://icbargentina.com/media/docentes/2023/10/Emiliano_Lasia.PNG	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/media/docentes/2023/10/Emiliano_Lasia.png	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
